Account ID,Contract ID,Contract Start Date,Contract End Date,Status,Contract Type,Recurrence,Billing Amount (converted),6 months Opt Out,Opt Out Exercised
0011n00001px2Y4,8001n000008mY1uAAE,2021-04-19,2022-04-19,Signed,New Business,Recurrent,1280.0,False,False
0010Y00000v1cql,8001n000006PcuZAAS,2019-08-19,2019-12-15,Signed,Downsell,Monthly,750.0,False,False
0010Y000015IpNB,8001n000000kLfPAAU,2018-08-21,2020-08-05,Signed,New Business,Monthly,1400.0,False,False
0010Y000015IpNB,8001n000008mww7AAA,2021-08-05,2022-08-05,Signed,Renewal,Recurrent,2257.5,False,False
0010Y000015IpNB,8001n000008lyXeAAI,2020-10-15,2021-08-05,Signed,Upsell,Recurrent,750.0,True,False
0010Y000015IpNB,8001n000008lpIaAAI,2020-08-05,2021-08-05,Signed,Renewal,Recurrent,1400.0,False,False
0010Y00000SJSv5,8001n000003i4lQAAQ,2018-11-28,2019-06-22,Signed,Renewal,Monthly,970.0,False,False
0010Y00000SJSv5,8001n000005WtMBAA0,2020-01-31,2021-01-30,Signed,Upsell,Recurrent,700.0,False,False
0010Y00000SJSv5,8001n000005WtLhAAK,2020-01-31,2021-01-30,Signed,Renewal,Recurrent,800.0,False,False
0010Y00000SJSv5,8001n000004yY28AAE,2019-06-22,2020-01-30,Signed,Downsell,Monthly,800.0,False,False
0010Y00000SJSv5,8001n000005WtLrAAK,2021-01-31,2022-01-30,Signed,Renewal,Recurrent,1575.0,False,False
0010Y00000SJSv5,8001n000003hxtaAAA,2018-11-28,2019-06-22,Signed,Upsell,Monthly,230.0,False,False
0010Y00001ekRax,8000Y000000kIWmQAM,2018-08-16,2019-10-01,Signed,New Business,Monthly,2200.0,False,False
0010Y00001eo2od,8000Y000000k88xQAA,2018-07-26,2019-08-17,Signed,New Business,Monthly,1400.0,False,False
0010Y00001eo2od,8001n000004Xg0MAAS,2019-04-04,2019-08-17,Signed,Upsell,Monthly,500.0,False,False
0010Y00001eo2od,8001n000003j0goAAA,2019-02-04,2019-08-17,Signed,Upsell,Non-Recurrent,500.0,False,False
0010Y00001emQAA,8001n000008mU3DAAU,2021-04-23,2022-07-23,Signed,New Business,Recurrent,1850.0,True,False
0010Y00001endLf,8001n000008luu5AAA,2020-10-23,2021-11-01,Signed,New Business,Recurrent,2000.0,True,False
0010Y00001enidG,8000Y000000k5BZQAY,2018-07-25,,Signed,New Business,Monthly,1200.0,False,False
0010Y00001fEHHO,8000Y000000k8BmQAI,2018-07-26,2020-10-02,Signed,New Business,Monthly,1400.0,False,False
0010Y00001fEHHO,8001n000004b0c7AAA,2021-10-01,2022-09-30,Signed,Renewal,Recurrent,1470.0,False,False
0010Y00001fEHHO,8001n000008lvthAAA,2020-10-02,2021-10-01,Signed,Renewal,Recurrent,1400.0,True,False
0011n00001xW4Q6,8001n000004Ge4aAAC,2019-02-08,2020-02-01,Signed,New Business,Monthly,2200.0,False,False
0011n00001xW3J4,8001n000008mKp2AAE,2021-02-19,2022-02-18,Signed,New Business,Recurrent,1000.0,True,False
0010Y00000XrvzB,8001n0000034FmGAAU,2018-08-04,2020-05-07,Signed,Upsell,Monthly,800.0,False,False
0010Y00000XrvzB,8000Y000002f2t0QAA,2018-01-31,2020-05-07,Signed,New Business,Monthly,1200.0,False,False
0011n00001xWJju,8001n000004GiQ9AAK,2019-02-19,2019-06-06,Signed,New Business,Monthly,2600.0,False,False
0011n00001pwmIl,8001n000008mR1TAAU,2021-03-25,2022-03-25,Signed,New Business,Recurrent,1550.0,True,False
0011n00001pwVPF,8001n000005WyHxAAK,2019-12-17,2020-09-21,Signed,Renewal,Recurrent,1365.0,False,False
0011n00001pwVPF,8001n000004bB3YAAU,2021-10-22,2022-10-21,Signed,Renewal,Recurrent,1765.0,False,False
0011n00001pwVPF,8001n000003iEc6AAE,2018-12-17,2019-12-16,Signed,New Business,Monthly,1300.0,False,False
0011n00001pwVPF,8001n000008luWSAAY,2020-09-22,2021-10-21,Signed,Renewal,Recurrent,1365.0,False,False
0011n00001pwVPF,8001n000008luX1AAI,2020-09-22,2021-10-21,Signed,Upsell,Recurrent,400.0,False,False
0011n000028u655,8001n000005WxDLAA0,2020-03-02,2020-08-27,Signed,New Business,Recurrent,1000.0,False,False
0011n000028u655,8001n000005XKJGAA4,2020-06-18,2020-08-27,Signed,Upsell,Non-Recurrent,430.0,False,False
0011n000028u655,8001n000008lr3cAAA,2020-08-28,2021-09-01,Signed,Renewal,Recurrent,1000.0,False,False
0011n000028u655,8001n000008lr3hAAA,2020-08-28,2021-09-01,Signed,Upsell,Recurrent,400.0,False,False
0011n000028uA2E,8001n000008m5RjAAI,2021-01-01,2022-12-31,Signed,New Business,Recurrent,3650.0,False,False
0011n000028tQDL,8001n000004ybOxAAI,2019-06-24,2019-12-01,Signed,New Business,Monthly,1150.0,False,False
0011n000029NU3Z,8001n000005WvYlAAK,2021-02-13,2022-02-12,Signed,Renewal,Recurrent,2835.0,False,False
0011n000029NU3Z,8001n000005WvYbAAK,2020-02-12,2021-02-12,Signed,New Business,Recurrent,2700.0,False,False
0011n000028vHJK,8001n000008m0xoAAA,2020-11-01,2020-12-31,Signed,Trial,Non-Recurrent,900.0,False,False
0011n000028vHJK,8001n000004bGtkAAE,2021-12-01,2022-11-22,Signed,Upsell,Recurrent,1540.02,False,False
0011n000028vHJK,8001n000008mjsEAAQ,2021-06-08,2022-05-28,Signed,Upsell,Recurrent,960.0,False,False
0011n000028v91F,8001n000004bBmFAAU,2021-10-27,2022-04-28,Signed,Upsell,Recurrent,520.0,False,False
0011n000028vBo7,8001n0000065JAWAA2,2019-08-01,2019-12-01,Signed,New Business,Monthly,850.0,False,False
0010Y00001U4FDy,8000Y000000jhUpQAI,2018-07-01,2019-05-17,Signed,New Business,Monthly,1200.0,False,False
0010Y00001U4FDy,8001n000008lvQfAAI,2020-09-30,2021-09-29,Signed,Renewal,Recurrent,1150.0,False,False
0010Y00001U4FDy,8001n000004b4bMAAQ,2021-09-30,2022-09-29,Signed,Renewal,Recurrent,1207.5,False,False
0010Y00000UxJoM,8001n000008mogQAAQ,2021-07-01,2022-05-16,Signed,New Business,Recurrent,4850.0,False,False
0011n00001x0aXm,8001n000004XbAqAAK,2019-05-01,2019-08-03,Signed,New Business,Monthly,1500.0,False,False
0011n000021b7Ar,8001n000004Xje3AAC,2019-04-17,2019-11-01,Signed,New Business,Monthly,921.66,False,False
0011n00001x0eXx,8001n000005WzrNAAS,2020-03-19,2021-01-04,Signed,Renewal,Recurrent,1260.0,False,False
0011n00001x0eXx,8001n000004XYzQAAW,2019-03-19,2020-03-18,Signed,New Business,Monthly,1200.0,False,False
0011n00001x0eXx,8001n000004bLV9AAM,2022-01-04,2023-01-03,Signed,Renewal,Recurrent,1260.0,False,False
0011n00001x0eXx,8001n000008mDXuAAM,2021-01-04,2022-01-04,Signed,Renewal,Recurrent,1200.0,False,False
0011n00001xWiPn,8001n000008m2NjAAI,2020-10-31,2021-11-23,Signed,Downsell,Recurrent,1000.0,False,False
0011n00001xWiPn,8001n000005WxVhAAK,2020-02-20,2020-10-30,Signed,New Business,Recurrent,1200.0,False,False
0011n00001xWiPn,8001n000004bGg7AAE,2021-11-24,2022-11-24,Signed,Renewal,Recurrent,1000.0,False,False
0011n00001x0Gvu,8001n000004zKyDAAU,2019-07-08,2020-07-07,Signed,New Business,Monthly,1450.0,False,False
0011n00001x0Gvu,8001n000005XKUsAAO,2020-11-20,2021-11-19,Signed,Renewal,Recurrent,1522.5,False,False
0011n00001x0Gvu,8001n000005XKUnAAO,2020-07-08,2020-11-19,Signed,Renewal,Recurrent,1522.5,False,False
0011n00001x0Gvu,8001n000004bApsAAE,2021-11-20,2022-11-19,Signed,Renewal,Recurrent,1598.62,False,False
0010Y00000zACI4,8000Y000002f2E2QAI,2018-01-31,2020-03-31,Signed,New Business,Monthly,1200.0,False,False
0010Y00001D5vQY,8001n000008luu0AAA,2020-10-15,2021-04-19,Signed,New Business,Recurrent,2500.0,True,True
0010Y00001D6MPH,8001n0000062RZ6AAM,2019-07-27,2019-10-27,Signed,Downsell,Monthly,1000.0,False,False
0010Y00001D6MPH,8001n000006PrQrAAK,2019-10-27,2020-10-04,Signed,Downsell,Monthly,500.0,False,False
0010Y00001D6MPH,8000Y000002fbn3QAA,2018-03-07,2019-07-27,Signed,New Business,Monthly,1000.0,False,False
0010Y00001D6MPH,8001n000004XkgLAAS,2019-05-01,2019-07-27,Signed,Upsell,Monthly,1000.0,False,False
0011n000029MfH1,8001n00000504TAAAY,2019-07-15,2020-07-14,Signed,New Business,Recurrent,750.0,False,False
0011n000029MfH1,8001n0000054GoZAAU,2020-07-15,2020-08-09,Signed,Renewal,Recurrent,787.5,False,False
0011n00002AxhMQ,8001n000008m0t8AAA,2020-11-27,2020-12-09,Signed,Renewal,Recurrent,2100.0,False,False
0011n00002AxhMQ,8001n000005WhR4AAK,2019-11-27,2020-11-26,Signed,New Business,Monthly,2000.0,False,False
0011n00002AxhMQ,8001n000004bIQLAA2,2021-12-10,2022-12-09,Signed,Renewal,Recurrent,2100.0,False,False
0011n00002AxhMQ,8001n000008m8K3AAI,2020-12-10,2021-12-09,Signed,Renewal,Recurrent,2000.0,False,False
0010Y00000HCjFA,8001n000008ltSoAAI,2020-09-14,2021-05-07,Signed,New Business,Recurrent,1570.0,True,True
0011n000021Zdjh,8001n000005X5V9AAK,2020-04-07,2021-04-07,Signed,Renewal,Recurrent,1700.0,False,False
0011n000021Zdjh,8001n000005X5VEAA0,2021-04-08,2022-04-07,Signed,Renewal,Recurrent,2400.0,False,False
0011n000021Zdjh,8001n000004XiHyAAK,2019-04-15,2020-04-07,Signed,New Business,Monthly,1700.0,False,False
0011n000021Zdjh,8001n0000054JFrAAM,2020-08-01,2021-04-07,Signed,Upsell,Recurrent,600.0,False,False
0011n000021Zdjh,8001n000008lqNvAAI,2020-09-01,2021-04-07,Signed,Upsell,Recurrent,100.0,False,False
0011n000021ZvIr,8001n000004XgvNAAS,2019-05-01,2020-06-01,Signed,New Business,Monthly,1474.65,False,False
0010Y00001NIFQx,8000Y000002jzEMQAY,2018-04-19,2019-10-06,Signed,New Business,Monthly,1300.0,False,False
0011n000021Z7Kz,8001n000004XZNMAA4,2019-03-20,2020-03-19,Signed,New Business,Monthly,1200.0,False,False
0011n000021YNor,8001n000005XH9XAAW,2021-04-08,2022-01-10,Signed,Renewal,Recurrent,1874.25,False,False
0011n000021YNor,8001n000005XH9SAAW,2020-04-08,2021-04-07,Signed,Renewal,Recurrent,1785.0,False,False
0011n000021YNor,8001n000004XgndAAC,2019-04-08,2020-04-07,Signed,New Business,Monthly,1700.0,False,False
0011n000021YTi9,8001n000004XZ9yAAG,2019-03-19,2020-04-20,Signed,New Business,Monthly,1250.0,False,False
0011n000021aCGf,8001n000004XpcZAAS,2019-05-15,2019-06-15,Signed,New Business,Non-Recurrent,750.0,False,False
0010Y00000qdprC,8001n000008m0DRAAY,2020-10-31,2020-10-31,Signed,Renewal,Recurrent,3485.0,False,False
0010Y00000qdprC,8001n000006Pq4VAAS,2019-11-01,2020-11-01,Signed,New Business,Recurrent,3400.0,False,False
0010Y00000eDJGK,8001n000008m0c7AAA,2020-10-28,2021-09-30,Signed,Upsell,Recurrent,200.0,False,False
0010Y00000eDJGK,8001n000008lpU2AAI,2020-08-10,2021-09-30,Signed,Renewal,Recurrent,2000.0,False,False
0010Y00000eDJGK,8001n000008lpUCAAY,2020-09-01,2021-09-30,Signed,Upsell,Recurrent,3700.0,False,False
0010Y00000eDJGK,8001n000004b1o3AAA,2021-10-01,2022-08-10,Signed,Renewal,Recurrent,6077.0,False,False
0011n00001xXWwh,8001n000008lzwQAAQ,2020-10-22,2021-07-01,Signed,Upsell,Recurrent,1395.0,False,False
0011n00001xXWwh,8001n000005WzsRAAS,2020-03-21,2020-06-30,Signed,Renewal,Recurrent,2499.0,False,False
0011n00001xXWwh,8001n000005XLlaAAG,2020-07-01,2021-07-01,Signed,Renewal,Recurrent,2380.0,False,False
0011n00001xXWwh,8001n000005XLlfAAG,2021-07-01,2022-06-30,Signed,Renewal,Recurrent,3963.75,False,False
0011n00001xXWwh,8001n000004XZywAAG,2019-03-21,2020-03-20,Signed,New Business,Monthly,2380.0,False,False
0011n00001xXgAS,8001n000004XazlAAC,2019-03-26,2019-12-01,Signed,New Business,Monthly,1300.0,False,False
0011n00001xX0it,8001n000005WzMFAA0,2020-02-26,2020-05-06,Signed,Renewal,Recurrent,1785.0,False,False
0011n00001xX0it,8001n000004GwNFAA0,2019-02-26,2020-02-25,Signed,New Business,Monthly,1700.0,False,False
0011n00002C1zVs,8001n0000054Ii9AAE,2020-07-21,2021-03-02,Signed,Upsell,Recurrent,300.0,False,False
0011n00002C1zVs,8001n000005WhJTAA0,2019-12-04,2020-03-04,Signed,Trial,Non-Recurrent,1500.0,False,False
0011n00002C1zVs,8001n000005X18pAAC,2020-03-09,2021-03-02,Signed,New Business,Recurrent,1500.0,False,False
0011n00002C1zVs,8001n000005X18uAAC,2021-03-03,2022-03-02,Signed,Downsell,Recurrent,1970.0,False,False
0011n00002C1zVs,8001n000008mC64AAE,2020-12-22,2021-03-02,Signed,Upsell,Recurrent,100.0,False,False
0011n00002C1zVs,8001n000008ls76AAA,2020-09-01,2021-03-02,Signed,Upsell,Recurrent,100.0,False,False
0011n00001m2oBV,8001n000004XbqOAAS,2019-04-01,2020-02-01,Signed,New Business,Monthly,1400.0,False,False
0011n00002VJmsa,8001n000008m5CoAAI,2020-11-30,2021-11-30,Signed,New Business,Recurrent,,False,False
0011n00002VJmKK,8001n000008m5CfAAI,2020-11-26,2021-11-30,Signed,New Business,Recurrent,0.0,False,False
0011n00002ZvIMZ,8001n000008mTIbAAM,2021-04-01,2022-04-01,Signed,New Business,Recurrent,2600.0,True,False
0011n00002ZvIMZ,8001n000008mZcSAAU,2021-05-01,2022-04-01,Signed,Upsell,Recurrent,435.0,True,False
0011n00002NtUjN,8001n000005XFPMAA4,2020-05-29,2021-06-02,Signed,New Business,Recurrent,1850.0,False,False
0011n00002NtUjN,8001n000005XFPRAA4,2021-06-03,2022-06-02,Signed,Renewal,Recurrent,1942.5,False,False
0011n000029VIEX,8001n000003VUBeAAO,2019-10-16,2020-05-08,Signed,New Business,Monthly,850.0,False,False
0011n00001wxleO,8001n000008m6MfAAI,2020-11-25,2022-01-01,Signed,Renewal,Recurrent,2900.0,False,False
0011n00001wxleO,8001n000004yZuKAAU,2019-06-18,2020-11-24,Signed,New Business,Monthly,2900.0,False,False
0011n00001wyzeI,8001n000008mTk2AAE,2021-04-01,2022-04-01,Signed,Downsell,Recurrent,1597.0,False,False
0011n00001wyzeI,8001n000004yWqXAAU,2019-06-05,2020-04-08,Signed,Upsell,Monthly,350.0,False,False
0011n00001wyzeI,8001n000005XHjRAAW,2020-04-09,2021-03-31,Signed,Renewal,Recurrent,2362.5,False,False
0011n00001wyzeI,8001n000004Xc2wAAC,2019-04-09,2020-04-08,Signed,New Business,Monthly,1900.0,False,False
0011n000024FaWp,8001n000004yYWmAAM,2019-06-12,2020-06-11,Signed,New Business,Recurrent,1600.0,False,False
0011n000024FaWp,8001n000004ybN6AAI,2019-06-24,2020-06-11,Signed,Upsell,Recurrent,450.0,False,False
0011n000024FaWp,8001n000005ZkreAAC,2019-11-13,2020-06-11,Signed,Upsell,Recurrent,200.0,False,False
0011n000024F9tx,8001n000005WpuDAAS,2020-01-15,2020-09-09,Signed,New Business,Recurrent,2230.0,False,False
0011n00002dDU76,8001n000004ayJcAAI,2021-08-29,2022-08-29,Signed,New Business,Recurrent,3500.0,False,False
0010Y00000ZsE1h,8001n000000kRazAAE,2018-08-31,2020-12-01,Signed,New Business,Monthly,2500.0,False,False
0010Y00000crNkE,8001n000008m6aIAAQ,2020-11-26,2021-11-25,Signed,Renewal,Recurrent,1800.0,False,False
0010Y00000crNkE,8001n000004bAqCAAU,2021-11-26,2022-11-25,Signed,Renewal,Recurrent,2656.5,False,False
0010Y00000crNkE,8001n000008mdo8AAA,2021-05-13,2021-11-25,Signed,Upsell,Recurrent,200.0,False,False
0010Y00000ZHgEr,8001n000004b4vWAAQ,2021-10-01,2022-10-01,Signed,Renewal,Recurrent,1500.0,False,False
0011n0000259Oty,8001n000006O6OoAAK,2019-08-01,2020-06-25,Signed,New Business,Monthly,1300.0,False,False
0011n0000259Oty,8001n000005XLPtAAO,2020-06-25,2021-09-01,Signed,Renewal,Recurrent,1300.0,False,False
0011n00002A0MY5,8001n000008m77MAAQ,2020-12-01,2021-06-22,Signed,Upsell,Recurrent,260.0,False,False
0011n00002A0MY5,8001n000005XKodAAG,2020-06-22,2021-06-22,Signed,New Business,Recurrent,1650.0,False,False
0011n00002A0MY5,8001n000005XKoiAAG,2021-06-23,2022-06-22,Signed,Renewal,Recurrent,2583.0,False,False
0011n00002A0MY5,8001n000008mWJIAA2,2021-04-19,2021-06-22,Signed,Upsell,Recurrent,550.0,False,False
0011n0000259NGw,8001n000008lr6qAAA,2020-08-28,2021-08-28,Signed,Renewal,Recurrent,850.0,False,False
0011n0000259NGw,8001n000008muOXAAY,2021-08-29,2022-08-28,Signed,Renewal,Recurrent,1123.5,False,False
0011n0000259NGw,8001n000006Nr0nAAC,2019-08-01,2020-07-31,Signed,New Business,Monthly,850.0,False,False
0011n0000259NGw,8001n000006Pr6NAAS,2019-10-07,2020-07-31,Signed,Upsell,Non-Recurrent,0.0,False,False
0011n0000259NGw,8001n000004b3f8AAA,2021-10-01,2022-08-28,Signed,Upsell,Recurrent,515.0,False,False
0011n0000259NGw,8001n0000054J03AAE,2020-08-01,2020-08-28,Signed,Renewal,Recurrent,892.5,False,False
0011n00001lFXky,8001n000006OW6QAAW,2019-08-05,2020-02-09,Signed,New Business,Monthly,1400.0,False,False
0011n00001lFXky,8001n000003hxCHAAY,2018-12-01,2018-12-31,Signed,Trial,Non-Recurrent,1400.0,False,False
0011n000028tszK,8001n000005Wlp8AAC,2019-12-13,2020-06-13,Signed,New Business,Monthly,1000.0,False,False
0011n000029wYs6,8001n000005Wu3DAAS,2021-02-04,2021-04-01,Signed,Renewal,Recurrent,2631.65,False,False
0011n000029wYs6,8001n000005Wu2eAAC,2020-02-04,2021-02-03,Signed,New Business,Recurrent,2555.0,False,False
0010Y00001V08zm,8001n000008mCxwAAE,2020-12-29,2022-04-29,Signed,New Business,Recurrent,3125.0,True,False
0011n00002Axke2,8001n000008mjHjAAI,2021-06-07,2022-06-06,Signed,New Business,Recurrent,900.0,True,False
0010Y00000BWi5s,8001n000008mosvAAA,2021-06-28,2022-06-27,Signed,New Business,Recurrent,3500.0,True,False
0010Y00000mxjf3,8000Y000000iqmfQAA,2018-01-15,2020-01-15,Signed,New Business,Monthly,700.0,False,False
0010Y00000SJqp7,8001n000008m0thAAA,2020-11-01,2021-06-01,Signed,Renewal,Recurrent,1732.5,False,False
0010Y00000SJqp7,8001n000005WjLZAA0,2019-12-05,2020-10-31,Signed,Upsell,Recurrent,288.75,False,False
0010Y00000SJqp7,8001n000003VWIcAAO,2019-10-30,2020-10-31,Signed,New Business,Recurrent,1650.0,False,False
0010Y00000SJqTa,8001n00000352m9AAA,2018-11-14,2019-01-14,Signed,New Business,Non-Recurrent,2900.0,False,False
0010Y00000SJqTa,8001n000003ieFNAAY,2019-02-01,2019-02-28,Signed,New Business,Non-Recurrent,1400.0,False,False
0010Y00000SJqTa,8001n000003ixYrAAI,2019-02-01,2019-04-01,Signed,New Business,Non-Recurrent,800.0,False,False
0011n000022PPlK,8001n0000054JKIAA2,2020-08-03,2021-07-31,Signed,New Business,Recurrent,1350.0,True,False
0011n000022PPlK,8001n000008muvbAAA,2021-07-31,2022-07-30,Signed,Renewal,Recurrent,1417.5,False,False
0011n000022PPlK,8001n000004bI29AAE,2021-12-01,2022-07-20,Signed,Upsell,Recurrent,277.5,False,False
0011n00002dEXry,8001n000008mueGAAQ,2021-08-01,2022-05-22,Signed,Upsell,Recurrent,3000.0,False,False
0011n00002dEXry,8001n000008mt0yAAA,2021-07-23,2022-05-22,Signed,Upsell,Recurrent,250.0,False,False
0011n00002dEXry,8001n000008md0wAAA,2021-05-11,2022-05-11,Signed,New Business,Recurrent,2422.5,True,False
0011n00002dEXry,8001n000004bI53AAE,2021-12-01,2022-12-01,Signed,Upsell,Recurrent,1950.0,False,False
0011n00002dEXry,8001n000004b9PWAAY,2021-10-29,2022-10-28,Signed,Upsell,Recurrent,1250.0,False,False
0011n00002dEXry,8001n000004az2IAAQ,2021-08-31,2022-08-30,Signed,Upsell,Recurrent,1000.0,False,False
0011n00002eVOil,8001n000008mhfSAAQ,2021-05-28,2022-05-27,Signed,New Business,Recurrent,1890.0,True,False
0011n00001pX2dS,8001n000008mhCYAAY,2021-05-27,2022-05-26,Signed,New Business,Recurrent,950.0,True,False
0010Y00000QXG0W,8001n000004XbvxAAC,2019-04-20,2020-03-06,Signed,New Business,Monthly,1500.0,False,False
0010Y00001BqLBv,8001n000008m3TJAAY,2020-11-01,2021-10-31,Signed,Renewal,Recurrent,2500.0,False,False
0010Y00001BqLBv,8001n000004bC0qAAE,2021-11-01,2022-10-31,Signed,Renewal,Recurrent,2625.0,False,False
0010Y00001BqLBv,8000Y000002fU4SQAU,2018-02-26,2020-10-31,Signed,New Business,Monthly,2500.0,False,False
0011n00002B0POs,8001n000006PdI2AAK,2019-08-21,2020-05-01,Signed,New Business,Monthly,2000.0,False,False
0011n0000259Mfg,8001n0000054GaSAAU,2020-07-10,2021-07-10,Signed,Renewal,Recurrent,1950.0,False,False
0011n0000259Mfg,8001n000006Pii2AAC,2019-09-10,2020-08-14,Signed,New Business,Monthly,1950.0,False,False
0011n0000259Mfg,8001n000008mqqSAAQ,2021-07-12,2022-07-12,Signed,Renewal,Recurrent,2047.5,False,False
0011n00001xUYcb,8001n000004yaZYAAY,2019-06-20,2020-06-19,Signed,Upsell,Non-Recurrent,0.0,False,False
0011n00001xUYcb,8001n000006PpgOAAS,2019-10-04,2020-06-19,Signed,Upsell,Monthly,300.0,False,False
0011n00001xUYcb,8001n000004GxipAAC,2019-02-27,2020-06-19,Signed,New Business,Monthly,1300.0,False,False
0011n000026SMox,8001n000008lsyjAAA,2020-09-21,2021-01-31,Signed,New Business,Recurrent,950.0,True,False
0011n000026SMox,8001n000004aymoAAA,2021-09-01,2022-08-31,Signed,Renewal,Recurrent,550.0,False,False
0011n000026SMox,8001n000004aymjAAA,2021-09-01,2022-08-31,Signed,Upsell,Recurrent,300.0,False,False
